Camera,"(0, 0)",960,704,"(320, 320)",1,false,"(0, 0)"
Camera,"(960, 0)",1408,960,"(1600, 320)",0.3,false,"(0, 0)"
Camera,"(2368, 0)",1920,960,"(3008, 320)",0.5,false,"(0, 0)"
Object,StartPoint,"(256, 64)"
Object,OneWayFloor,"(128, 640)",1
Object,OneWayFloor,"(192, 640)",1
Object,OneWayFloor,"(256, 640)",1
Object,OneWayFloor,"(320, 640)",1
Object,OneWayFloor,"(512, 640)",1
Object,OneWayFloor,"(448, 640)",1
Object,OneWayFloor,"(384, 640)",1
Object,OneWayFloor,"(64, 640)",1
Object,OneWayFloor,"(576, 640)",1
Object,OneWayFloor,"(640, 640)",1
Object,OneWayFloor,"(704, 640)",1
Object,OneWayFloor,"(768, 640)",1
Object,OneWayFloor,"(832, 640)",1
Object,OneWayFloor,"(896, 640)",1
Object,DangerWall,"(1792, 3072)",1
Object,DangerWall,"(1856, 3072)",1
Object,DangerWall,"(1920, 3072)",1
Object,DangerWall,"(1984, 3072)",1
Object,DangerWall,"(2048, 3072)",1
Object,DangerWall,"(2176, 3072)",1
Object,DangerWall,"(2240, 3072)",1
Object,DangerWall,"(2304, 3072)",1
Object,DangerWall,"(2368, 3072)",1
Object,DangerWall,"(2432, 3072)",1
Object,DangerWall,"(2496, 3072)",1
Object,DangerWall,"(2560, 3072)",1
Object,DangerWall,"(2624, 3072)",1
Object,DangerWall,"(2688, 3072)",1
Object,DangerWall,"(2112, 3072)",1
Object,DangerWall,"(1536, 3072)",1
Object,DangerWall,"(1600, 3072)",1
Object,DangerWall,"(1664, 3072)",1
Object,DangerWall,"(1728, 3072)",1
Object,DangerWall,"(1472, 3072)",1
Object,DangerWall,"(1408, 3072)",1
Object,DangerWall,"(1344, 3072)",1
Object,DangerWall,"(1280, 3072)",1
Object,DangerWall,"(1216, 3072)",1
Object,DangerWall,"(1152, 3072)",1
Object,DangerWall,"(1088, 3072)",1
Object,DangerWall,"(1024, 3072)",1
Object,DangerWall,"(960, 3072)",1
